Name,FullName,Extension,CreationTime
_הדירה_במיר_שם_נפל_הקיר.mp4,G:\.shortcut-targets-by-id\1fReJ4DF_-zQ7B4ZoXQQmXMUk2pgxQVxM\סרטים כשרים ומשחקים\המעניינים\951-1000\994\_הדירה_במיר_שם_נפל_הקיר.mp4,.mp4,7/30/2024 1:00:32 AM
_שטויות_שלא_עושים.mp4,G:\.shortcut-targets-by-id\1fReJ4DF_-zQ7B4ZoXQQmXMUk2pgxQVxM\סרטים כשרים ומשחקים\המעניינים\951-1000\994\_שטויות_שלא_עושים.mp4,.mp4,7/30/2024 1:01:42 AM
_ראיון_בלעדי.mp4,G:\.shortcut-targets-by-id\1fReJ4DF_-zQ7B4ZoXQQmXMUk2pgxQVxM\סרטים כשרים ומשחקים\המעניינים\951-1000\994\_ראיון_בלעדי.mp4,.mp4,7/30/2024 1:24:03 AM
_רגע_אחרי_הפיצוץ_באיראן.mp4,G:\.shortcut-targets-by-id\1fReJ4DF_-zQ7B4ZoXQQmXMUk2pgxQVxM\סרטים כשרים ומשחקים\המעניינים\951-1000\994\_רגע_אחרי_הפיצוץ_באיראן.mp4,.mp4,7/30/2024 1:01:35 AM
_הפיצוץ_באיראן_בשידור_חי.mp4,G:\.shortcut-targets-by-id\1fReJ4DF_-zQ7B4ZoXQQmXMUk2pgxQVxM\סרטים כשרים ומשחקים\המעניינים\951-1000\994\_הפיצוץ_באיראן_בשידור_חי.mp4,.mp4,7/30/2024 1:00:27 AM
_בליקווד_הלווית_משגיח_ישיבת_לייקווד_הגהצ_הרב_מתיתיהו_סלומון_זצוקל.mp4,G:\.shortcut-targets-by-id\1fReJ4DF_-zQ7B4ZoXQQmXMUk2pgxQVxM\סרטים כשרים ומשחקים\המעניינים\951-1000\994\_בליקווד_הלווית_משגיח_ישיבת_לייקווד_הגהצ_הרב_מתיתיהו_סלומון_זצוקל.mp4,.mp4,7/30/2024 1:00:14 AM
_שיקום_רצועת_עזה.mp4,G:\.shortcut-targets-by-id\1fReJ4DF_-zQ7B4ZoXQQmXMUk2pgxQVxM\סרטים כשרים ומשחקים\המעניינים\951-1000\994\_שיקום_רצועת_עזה.mp4,.mp4,7/30/2024 1:02:02 AM
_חיסול_אולמרט.mp4,G:\.shortcut-targets-by-id\1fReJ4DF_-zQ7B4ZoXQQmXMUk2pgxQVxM\סרטים כשרים ומשחקים\המעניינים\951-1000\994\_חיסול_אולמרט.mp4,.mp4,7/30/2024 1:16:00 AM
_לא_לבעלי_לב_חלש___תיעוד_הלחימה.mp4,G:\.shortcut-targets-by-id\1fReJ4DF_-zQ7B4ZoXQQmXMUk2pgxQVxM\סרטים כשרים ומשחקים\המעניינים\951-1000\994\_לא_לבעלי_לב_חלש___תיעוד_הלחימה.mp4,.mp4,7/30/2024 1:19:27 AM
_השמדת_המנהרות_בשיפא.mp4,G:\.shortcut-targets-by-id\1fReJ4DF_-zQ7B4ZoXQQmXMUk2pgxQVxM\סרטים כשרים ומשחקים\המעניינים\951-1000\994\_השמדת_המנהרות_בשיפא.mp4,.mp4,7/30/2024 1:00:42 AM
_ראש_הממשלה_היוצא____הנדסת_תודעה.mp4,G:\.shortcut-targets-by-id\1fReJ4DF_-zQ7B4ZoXQQmXMUk2pgxQVxM\סרטים כשרים ומשחקים\המעניינים\951-1000\994\_ראש_הממשלה_היוצא____הנדסת_תודעה.mp4,.mp4,7/30/2024 1:24:18 AM
_נעל_בית_עם_מגירות.mp4,G:\.shortcut-targets-by-id\1fReJ4DF_-zQ7B4ZoXQQmXMUk2pgxQVxM\סרטים כשרים ומשחקים\המעניינים\951-1000\994\_נעל_בית_עם_מגירות.mp4,.mp4,7/30/2024 1:01:11 AM
_ערורי_בוגר_ישיבת_חברון_חחח.mp4,G:\.shortcut-targets-by-id\1fReJ4DF_-zQ7B4ZoXQQmXMUk2pgxQVxM\סרטים כשרים ומשחקים\המעניינים\951-1000\994\_ערורי_בוגר_ישיבת_חברון_חחח.mp4,.mp4,7/30/2024 1:01:24 AM
_החיסול.mp4,G:\.shortcut-targets-by-id\1fReJ4DF_-zQ7B4ZoXQQmXMUk2pgxQVxM\סרטים כשרים ומשחקים\המעניינים\951-1000\994\_החיסול.mp4,.mp4,7/30/2024 1:00:47 AM
_המקובל_הגרי_עדס_בתפילה_לרפואת_אביו_הגאון_הרב_יהודה_עדס_שליטא.mp4,G:\.shortcut-targets-by-id\1fReJ4DF_-zQ7B4ZoXQQmXMUk2pgxQVxM\סרטים כשרים ומשחקים\המעניינים\951-1000\994\_המקובל_הגרי_עדס_בתפילה_לרפואת_אביו_הגאון_הרב_יהודה_עדס_שליטא.mp4,.mp4,7/30/2024 1:15:39 AM
_ברזל.mp4,G:\.shortcut-targets-by-id\1fReJ4DF_-zQ7B4ZoXQQmXMUk2pgxQVxM\סרטים כשרים ומשחקים\המעניינים\951-1000\994\_ברזל.mp4,.mp4,7/30/2024 1:13:19 AM
_סוס_פוני_משי_גראוכר.mp4,G:\.shortcut-targets-by-id\1fReJ4DF_-zQ7B4ZoXQQmXMUk2pgxQVxM\סרטים כשרים ומשחקים\המעניינים\951-1000\994\_סוס_פוני_משי_גראוכר.mp4,.mp4,7/30/2024 1:22:47 AM
_ספר_תהילים_נמצא_בג_אבליה.mp4,G:\.shortcut-targets-by-id\1fReJ4DF_-zQ7B4ZoXQQmXMUk2pgxQVxM\סרטים כשרים ומשחקים\המעניינים\951-1000\994\_ספר_תהילים_נמצא_בג_אבליה.mp4,.mp4,7/30/2024 1:23:41 AM
_מרגש_ברית_ליהודי_בן_42___הגרבצ_גוטפרב_ר__י_תורת_ה__הסנדק.mp4,G:\.shortcut-targets-by-id\1fReJ4DF_-zQ7B4ZoXQQmXMUk2pgxQVxM\סרטים כשרים ומשחקים\המעניינים\951-1000\994\_מרגש_ברית_ליהודי_בן_42___הגרבצ_גוטפרב_ר__י_תורת_ה__הסנדק.mp4,.mp4,7/30/2024 1:22:17 AM
_מעשה_בגפילטע_פיש.mp4,G:\.shortcut-targets-by-id\1fReJ4DF_-zQ7B4ZoXQQmXMUk2pgxQVxM\סרטים כשרים ומשחקים\המעניינים\951-1000\994\_מעשה_בגפילטע_פיש.mp4,.mp4,7/30/2024 1:21:27 AM
_ירון_זליכה_על_הכנסת_פועלים_פלסטינים.mp4,G:\.shortcut-targets-by-id\1fReJ4DF_-zQ7B4ZoXQQmXMUk2pgxQVxM\סרטים כשרים ומשחקים\המעניינים\951-1000\994\_ירון_זליכה_על_הכנסת_פועלים_פלסטינים.mp4,.mp4,7/30/2024 1:16:28 AM
